1000000,1,2.893924713135e-03,3.597021102905e-03,8.045337045138e-01,8.045337045138e-01
1000000,2,2.961158752441e-03,1.513004302979e-03,1.957138354869e+00,9.785691774346e-01
1000000,4,2.796173095703e-03,1.004934310913e-03,2.782443653618e+00,6.956109134045e-01
1000000,8,3.276109695435e-03,2.520084381104e-03,1.300000000000e+00,1.625000000000e-01
1000000,16,3.126859664917e-03,1.600027084351e-03,1.954254209507e+00,1.221408880942e-01
10000000,1,2.949810028076e-02,3.354096412659e-02,8.794648886488e-01,8.794648886488e-01
10000000,2,2.867484092712e-02,2.026391029358e-02,1.415069476310e+00,7.075347381549e-01
10000000,4,2.938985824585e-02,7.132053375244e-03,4.120812997259e+00,1.030203249315e+00
10000000,8,3.033399581909e-02,8.231878280640e-03,3.684942219133e+00,4.606177773916e-01
10000000,16,2.785015106201e-02,8.023023605347e-03,3.471278713857e+00,2.169549196161e-01
100000000,1,2.487509250641e-01,2.544209957123e-01,9.777138257308e-01,9.777138257308e-01
100000000,2,2.529509067535e-01,1.572239398956e-01,1.608857448309e+00,8.044287241544e-01
100000000,4,2.878468036652e-01,9.761905670166e-02,2.948674299782e+00,7.371685749455e-01
100000000,8,2.972118854523e-01,1.105489730835e-01,2.688508786308e+00,3.360635982885e-01
100000000,16,2.847740650177e-01,7.602691650391e-02,3.745700577020e+00,2.341062860637e-01
