32,1,3.099441528320e-06,4.005432128906e-05,7.738095238095e-02,7.738095238095e-02,0.000000e+00
32,2,5.006790161133e-06,2.307891845703e-04,2.169421487603e-02,1.084710743802e-02,0.000000e+00
32,4,4.053115844727e-06,4.470348358154e-04,9.066666666667e-03,2.266666666667e-03,0.000000e+00
32,8,5.960464477539e-06,4.241466522217e-04,1.405283867341e-02,1.756604834177e-03,0.000000e+00
32,16,5.960464477539e-06,8.049011230469e-04,7.405213270142e-03,4.628258293839e-04,0.000000e+00
64,1,1.311302185059e-05,5.102157592773e-05,2.570093457944e-01,2.570093457944e-01,0.000000e+00
64,2,2.002716064453e-05,5.600452423096e-04,3.575989782886e-02,1.787994891443e-02,0.000000e+00
64,4,2.312660217285e-05,6.849765777588e-04,3.376261747302e-02,8.440654368256e-03,0.000000e+00
64,8,2.217292785645e-05,4.410743713379e-04,5.027027027027e-02,6.283783783784e-03,0.000000e+00
64,16,2.598762512207e-05,7.369518280029e-04,3.526366871563e-02,2.203979294727e-03,0.000000e+00
128,1,1.149177551270e-04,2.458095550537e-04,4.675072744908e-01,4.675072744908e-01,0.000000e+00
128,2,1.220703125000e-04,8.339881896973e-04,1.463693539165e-01,7.318467695826e-02,0.000000e+00
128,4,5.793571472168e-05,7.381439208984e-04,7.848837209302e-02,1.962209302326e-02,0.000000e+00
128,8,5.817413330078e-05,1.417875289917e-03,4.102909029763e-02,5.128636287204e-03,0.000000e+00
128,16,7.581710815430e-05,1.019954681396e-03,7.433380084151e-02,4.645862552595e-03,0.000000e+00
512,1,9.069442749023e-04,6.721019744873e-03,1.349414686059e-01,1.349414686059e-01,0.000000e+00
512,2,8.130073547363e-04,3.666877746582e-03,2.217165149545e-01,1.108582574772e-01,0.000000e+00
512,4,9.319782257080e-04,2.604007720947e-03,3.579014832448e-01,8.947537081121e-02,0.000000e+00
512,8,1.209974288940e-03,6.981134414673e-03,1.733205833134e-01,2.166507291418e-02,0.000000e+00
512,16,8.358955383301e-04,2.908945083618e-03,2.873534956151e-01,1.795959347594e-02,0.000000e+00
1024,1,8.793115615845e-03,2.284002304077e-02,3.849871604835e-01,3.849871604835e-01,0.000000e+00
1024,2,3.529071807861e-03,2.116990089417e-02,1.667023301386e-01,8.335116506932e-02,0.000000e+00
1024,4,1.079511642456e-02,2.913498878479e-02,3.705206995033e-01,9.263017487582e-02,0.000000e+00
1024,8,6.659030914307e-03,9.359121322632e-03,7.115017195262e-01,8.893771494077e-02,0.000000e+00
1024,16,3.584861755371e-03,8.450984954834e-03,4.241945494555e-01,2.651215934097e-02,0.000000e+00
